Название,Автор,Обложка,Статус,Дата добавления,Жанр,Комментарий,Связь - Книги,Ссылка,Темы
Анафем,Нил Стивенсон,https://s1.livelib.ru/boocover/1000498718/200x305/2f8b/boocover.jpg,В планах,"September 27, 2022 3:31 PM",Развлекательная литература,,,https://www.livelib.ru/book/1000498718-anafem-nil-stivenson,
Иные песни,Яцек Дукай,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/6700182-yacek-dukay-inye-pesni.jpg,В планах,"September 27, 2022 3:35 PM",Развлекательная литература,,,https://www.litres.ru/yacek-dukay/inye-pesni/,
Идеальное несовершенство,Яцек Дукай,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/42133055-yacek-dukay-idealnoe-nesovershenstvo.jpg,В планах,"September 27, 2022 3:36 PM",Развлекательная литература,,,https://www.litres.ru/yacek-dukay/idealnoe-nesovershenstvo/,
Всесожжение,Цезарий Збешховский,https://cv0.litres.ru/pub/c/elektronnaya-kniga/cover_415/42666906-cezariy-zbeshhovskiy-vsesozhzhenie.jpg,В планах,"September 27, 2022 3:36 PM",Развлекательная литература,,,https://www.litres.ru/cezariy-zbeshhovskiy/vsesozhzhenie/,
Видоизмененный углерод: Сломленные ангелы,Ричард Морган,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/34395976-richard-morgan-2-vidoizmenennyy-uglerod-slomlennye-angely.jpg,В планах,"September 27, 2022 3:36 PM",Развлекательная литература,,,https://www.litres.ru/richard-morgan-2/vidoizmenennyy-uglerod-slomlennye-angely/,
Ложная слепота (сборник),Питер Уоттс,https://cv7.litres.ru/pub/c/elektronnaya-kniga/cover_415/17040677-piter-uotts-lozhnaya-slepota.jpg,В планах,"September 27, 2022 3:37 PM",Развлекательная литература,,,https://www.litres.ru/piter-uotts/lozhnaya-slepota/,
Исчезнувший мир,Том Светерлич,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/40002452-tom-sveterlich-ischeznuvshiy-mir.jpg,В планах,"September 27, 2022 3:37 PM",Развлекательная литература,,,https://www.litres.ru/tom-sveterlich/ischeznuvshiy-mir/,
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Адитья Бхаргава,https://cv8.litres.ru/pub/c/pdf-kniga/cover_415/39158380-aditya-bhargava-grokaem-algoritmy-illustrirovannoe-posobie-dlya-p-39158380.jpg,В планах,"September 27, 2022 3:41 PM",Развлекательная литература,,,https://www.litres.ru/aditya-bhargava/grokaem-algoritmy-illustrirovannoe-posobie-dlya-p-39158380/,
Мексиканец,Джек Лондон,https://i.livelib.ru/workpic/1000438781/200x305/a53b/Dzhek_London__Meksikanets.jpg,В планах,"September 27, 2022 3:42 PM",Развлекательная литература,,,https://www.livelib.ru/work/1000438781-meksikanets-dzhek-london,
Дальнейшие приключения Робинзона Крузо,Даниэль Дефо,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_330/136432-daniel-defo-dalneyshie-priklucheniya-robinzona-kruzo.jpg,В планах,"September 28, 2022 1:53 AM",Развлекательная литература,,,https://www.litres.ru/daniel-defo/dalneyshie-priklucheniya-robinzona-kruzo/,
