Название,Автор,Обложка,Статус,Дата добавления,Жанр,Комментарий,Связь - Книги,Ссылка,Темы
Мир смерти,Гарри Гаррисон,https://s1.livelib.ru/boocover/1002811826/200x305/00d9/boocover.jpg,В планах,"September 28, 2022 2:25 AM",Развлекательная литература,,,https://www.livelib.ru/book/1002811826-mir-smerti-garri-garrison,
Веб-дизайн для недизайнеров,Трэйси Осборн,https://s1.livelib.ru/boocover/1007405128/200x305/3416/boocover.jpg,В планах,"September 28, 2022 2:26 AM",Книги для работы,,,https://www.livelib.ru/book/1007405128-vebdizajn-dlya-nedizajnerov-trejsi-osborn,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/HTML%20CSS%200156da8accb5451b8991d10bfb08505a.csv
Системная инженерия для «чайников»,Кэтлин Шамие,https://s1.livelib.ru/boocover/1007437513/200x305/e332/boocover.jpg,Читаю,"September 28, 2022 2:26 AM",Книги для работы,,,https://www.livelib.ru/book/1007437513-sistemnaya-inzheneriya-dlya-chajnikov-ketlin-shamie,
Робинзон Крузо,Даниэль Дефо,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_330/136433-daniel-defo-robinzon-kruzo-136433.jpg,Прочитано,"September 28, 2022 2:30 AM",Развлекательная литература,,,https://www.litres.ru/daniel-defo/robinzon-kruzo-136433/,
Повелитель мух,Уильям Голдинг,https://cv2.litres.ru/pub/c/elektronnaya-kniga/cover_415/119029-uilyam-golding-povelitel-muh-119029.jpg,Прочитано,"September 28, 2022 2:31 AM",Развлекательная литература,,,https://www.litres.ru/uilyam-golding/povelitel-muh-119029/,
О дивный новый мир,Олдос Хаксли,https://cv8.litres.ru/pub/c/elektronnaya-kniga/cover_415/14332383-oldos-leonard-haksli-o-divnyy-novyy-mir.jpg,Прочитано,"September 28, 2022 2:32 AM",Развлекательная литература,,,https://www.litres.ru/oldos-leonard-haksli/o-divnyy-novyy-mir/,
Метро 2033,Дмитрий Глуховский,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/128391-dmitriy-gluhovskiy-metro-2033.jpg,Прочитано,"September 28, 2022 2:32 AM",Развлекательная литература,,,https://www.litres.ru/dmitriy-gluhovskiy/metro-2033/,
Гарри Поттер и узник Азкабана,Джоан Роулинг,https://s1.livelib.ru/boocover/1003317448/200x305/2954/boocover.jpg,Прочитано,"September 28, 2022 2:33 AM",Развлекательная литература,,,https://www.livelib.ru/book/1003317448-garri-potter-i-uznik-azkabana-dzhoan-rouling,
Гарри Поттер и Орден Феникса,Джоан Роулинг,https://s1.livelib.ru/boocover/1001112551/200x305/2034/boocover.jpg,Прочитано,"September 28, 2022 2:33 AM",Развлекательная литература,,,https://www.livelib.ru/book/1001112551-garri-potter-i-orden-feniksa-dzhoan-rouling,
Гарри Поттер и Кубок огня,Джоан Роулинг,https://s1.livelib.ru/boocover/1003244521/200x305/4a36/boocover.jpg,Прочитано,"September 28, 2022 2:34 AM",Развлекательная литература,,,https://www.livelib.ru/book/1003244521-garri-potter-i-kubok-ognya-dzhoan-rouling,
Гарри Поттер и Тайная комната,Джоан Роулинг,https://s1.livelib.ru/boocover/1002848843/200x305/c0ae/boocover.jpg,Прочитано,"September 28, 2022 2:34 AM",Развлекательная литература,,,https://www.livelib.ru/book/1002848843-garri-potter-i-tajnaya-komnata-dzhoan-rouling,
Гарри Поттер и Принц-полукровка,Джоан Роулинг,https://s1.livelib.ru/boocover/1001156813/200x305/b311/boocover.jpg,Прочитано,"September 28, 2022 2:34 AM",Развлекательная литература,,,https://www.livelib.ru/book/1001156813-garri-potter-i-printspolukrovka-dzhoan-rouling,
Гарри Поттер и Дары Смерти,Джоан Роулинг,https://s1.livelib.ru/boocover/1001243476/200x305/4165/boocover.jpg,Прочитано,"September 28, 2022 2:35 AM",Развлекательная литература,,,https://www.livelib.ru/book/1001243476-garri-potter-i-dary-smerti-dzhoan-rouling,
Гарри Поттер и философский камень,Дж. К. Роулинг,https://s1.livelib.ru/boocover/1002687858/200x305/231d/boocover.jpg,Прочитано,"September 28, 2022 2:36 AM",Развлекательная литература,,,https://www.livelib.ru/book/1002687858-garri-potter-i-filosofskij-kamen-dzh-k-rouling,
Мартин Иден,Джек Лондон,https://s1.livelib.ru/boocover/1005746266/200x305/4d96/boocover.jpg,Прочитано,"September 28, 2022 2:36 AM",Развлекательная литература,,,https://www.livelib.ru/book/1005746266-martin-iden-dzhek-london,
Маленький принц,Антуан де Сент-Экзюпери,https://s1.livelib.ru/boocover/1002999336/200x305/ecbe/boocover.jpg,Прочитано,"September 28, 2022 2:36 AM",Развлекательная литература,"Одна из первых осознанно прочитанных книг (школьная программа), наряду с Приключения Тома Сойера.",,https://www.livelib.ru/book/1002999336-malenkij-prints-antuan-de-sentekzyuperi,
Голодные игры: Сойка-пересмешница,Сьюзен Коллинз,https://s1.livelib.ru/boocover/1005519199/200x305/159f/boocover.jpg,Прочитано,"September 28, 2022 2:37 AM",Развлекательная литература,,,https://www.livelib.ru/book/1005519199-sojkaperesmeshnitsa-syuzen-kollinz,
Голодные игры: Голодные игры,Сьюзен Коллинз,https://s1.livelib.ru/boocover/1005349699/200x305/e5a4/boocover.jpg,Прочитано,"September 28, 2022 2:38 AM",Развлекательная литература,,,https://www.livelib.ru/book/1005349699-golodnye-igry-syuzen-kollinz,
Голова профессора Доуэля,Александр Беляев,https://s1.livelib.ru/boocover/1007362012/200x305/445d/boocover.jpg,Прочитано,"September 28, 2022 2:38 AM",Развлекательная литература,,,https://www.livelib.ru/book/1007362012-golova-professora-douelya-aleksandr-belyaev,
Голодные игры: И вспыхнет пламя,Сьюзен Коллинз,https://s1.livelib.ru/boocover/1000524718/200x305/c287/boocover.jpg,Прочитано,"September 28, 2022 2:39 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000524718-i-vspyhnet-plamya-syuzen-kollinz,
Бойцовский клуб,Чак Паланик,https://s1.livelib.ru/boocover/1005912529/200x305/7c6e/boocover.jpg,Прочитано,"September 28, 2022 2:40 AM",Развлекательная литература,,,https://www.livelib.ru/book/1005912529-bojtsovskij-klub-chak-palanik,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Сага смерти. Мгла,Андрей Левицкий,https://s1.livelib.ru/boocover/1000401555/200x305/1063/boocover.jpg,Прочитано,"September 28, 2022 2:41 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000401555-saga-smerti-mgla-andrej-levitskij,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Стрингер. Летописец отчуждения,Александр Радин,https://s1.livelib.ru/boocover/1000620003/200x305/7891/boocover.jpg,Прочитано,"September 28, 2022 2:41 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000620003-stringer-letopisets-otchuzhdeniya-aleksandr-radin,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Одержимые Зоной,Анна Китаева,https://s1.livelib.ru/boocover/1000494969/200x305/3bad/boocover.jpg,Прочитано,"September 28, 2022 2:41 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000494969-oderzhimye-zonoj-anna-kitaeva,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Горизонт событий,Сергей Недоруб,https://s1.livelib.ru/boocover/1000476909/200x305/b1ad/boocover.jpg,Прочитано,"September 28, 2022 2:41 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000476909-gorizont-sobytij-sergej-nedorub,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Игра в поддавки,Александр Громов,,Прочитано,"September 28, 2022 2:42 AM",Развлекательная литература,,,https://fantlab.ru/work206949,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Клад Стервятника,Александр Зорич,,Прочитано,"September 28, 2022 2:43 AM",Развлекательная литература,,,https://fantlab.ru/work216308,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Точка падения,Юрий Бурносов,https://s1.livelib.ru/boocover/1001224519/200x305/b546/boocover.jpg,Прочитано,"September 28, 2022 2:43 AM",Развлекательная литература,,,https://www.livelib.ru/book/1001224519-tochka-padeniya-yurij-burnosov,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Смертники,Евгений Прошкин,https://s1.livelib.ru/boocover/1000476707/200x305/b1ad/boocover.jpg,Прочитано,"September 28, 2022 2:44 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000476707-smertniki-evgenij-proshkin,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Полураспад,Александр Зорич,https://s1.livelib.ru/boocover/1000568644/200x305/1f74/boocover.jpg,Прочитано,"September 28, 2022 2:44 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000568644-poluraspad-aleksandr-zorich,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Прятки на осевой,Владимир Васильев,https://s1.livelib.ru/boocover/1000440776/200x305/9f38/boocover.jpg,Прочитано,"September 28, 2022 2:45 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000440776-pryatki-na-osevoj-vladimir-vasilev,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Штык,Ежи Тумановский,,Прочитано,"September 28, 2022 2:46 AM",Развлекательная литература,,,https://fantlab.ru/work228654,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Тайна полтергейста,Сергей Недоруб,https://s1.livelib.ru/boocover/1000434165/200x305/8f13/boocover.jpg,Прочитано,"September 28, 2022 2:46 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000434165-tajna-poltergejsta-sergej-nedorub,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Зов Припяти (сборник),Неизвестен,https://s1.livelib.ru/boocover/1000325697/200x305/334f/boocover.jpg,Прочитано,"September 28, 2022 2:47 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000325697-zov-pripyati-sbornik-antologiya,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Беглый огонь,Александр Зорич,https://s1.livelib.ru/boocover/1000404470/200x305/ff2b/boocover.jpg,Прочитано,"September 28, 2022 2:47 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000404470-beglyj-ogon-aleksandr-zorich,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Пуля-квант,Алексей Бобл,https://s1.livelib.ru/boocover/1000742668/200x305/3e4c/boocover.jpg,Прочитано,"September 28, 2022 2:47 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000742668-pulyakvant-aleksej-bobl,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Ловчий желаний,Сергей Вольнов,https://s1.livelib.ru/boocover/1000322695/200x305/c386/boocover.jpg,Прочитано,"September 28, 2022 2:48 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000322695-lovchij-zhelanij-sergej-volnov,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Змееныш,Лев Жаков,https://s1.livelib.ru/boocover/1000423462/200x305/a997/boocover.jpg,Прочитано,"September 28, 2022 2:48 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000423462-zmeenysh-sbornik-lev-zhakov,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Охотники на мутантов,Лев Жаков,https://s1.livelib.ru/boocover/1000316912/200x305/20b6/boocover.jpg,Прочитано,"September 28, 2022 2:49 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000316912-ohotniki-na-mutantov-lev-zhakov,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Эпицентр удачи,Дмитрий Янковский,https://s1.livelib.ru/boocover/1000371272/200x305/c513/boocover.jpg,Прочитано,"September 28, 2022 2:49 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000371272-epitsentr-udachi-dmitrij-yankovskij,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Линия огня,Василий Орехов,https://s1.livelib.ru/boocover/1000308151/200x305/4550/boocover.jpg,Прочитано,"September 28, 2022 2:49 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000308151-liniya-ognya-vasilij-orehov,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Мечта на поражение,Алексей Калугин,https://s1.livelib.ru/boocover/1000316580/200x305/20b6/boocover.jpg,Прочитано,"September 28, 2022 2:49 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000316580-mechta-na-porazhenie-aleksej-kalugin,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Выбор оружия,Андрей Левицкий,https://s1.livelib.ru/boocover/1000292508/200x305/8032/boocover.jpg,Прочитано,"September 28, 2022 2:50 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000292508-vybor-oruzhiya-andrej-levitskij,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Обратный отсчет,Вячеслав Шалыгин,https://s1.livelib.ru/boocover/1000507287/200x305/53e1/boocover.jpg,Прочитано,"September 28, 2022 2:50 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000507287-obratnyj-otschet-vyacheslav-shalygin,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Зона поражения,Василий Орехов,https://s1.livelib.ru/boocover/1000239530/200x305/de5e/boocover.jpg,Прочитано,"September 28, 2022 2:50 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000239530-zona-porazheniya-vasilij-orehov,
https://ru.wikipedia.org/wiki/S.T.A.L.K.E.R._(%D1%81%D0%B5%D1%80%D0%B8%D1%8F_%D0%B8%D0%B3%D1%80) Дом на болоте,Алексей Калугин,https://s1.livelib.ru/boocover/1000253388/200x305/b09d/boocover.jpg,Прочитано,"September 28, 2022 2:50 AM",Развлекательная литература,,,https://www.livelib.ru/book/1000253388-dom-na-bolote-aleksej-kalugin,
Бегущий в Лабиринте: Лекарство от смерти,Джеймс Дэшнер,https://s1.livelib.ru/boocover/1002730307/200x305/4011/boocover.jpg,Прочитано,"September 28, 2022 2:53 AM",Развлекательная литература,,,https://www.livelib.ru/book/1002730307-beguschij-v-labirinte-lekarstvo-ot-smerti-dzhejms-deshner,
Бегущий в Лабиринте: Испытание огнем,Джеймс Дэшнер,https://s1.livelib.ru/boocover/1001391688/200x305/d3f3/boocover.jpg,Прочитано,"September 28, 2022 2:53 AM",Развлекательная литература,,,https://www.livelib.ru/book/1001391688-ispytanie-ognem-dzhejms-deshner,
Бегущий в Лабиринте: Код лихорадки,Джеймс Дэшнер,https://s1.livelib.ru/boocover/1002692091/200x305/6359/boocover.jpg,Прочитано,"September 28, 2022 2:53 AM",Развлекательная литература,,,https://www.livelib.ru/book/1002692091-kod-lihoradki-dzhejms-deshner,
Бегущий в Лабиринте: Бегущий в лабиринте,Джеймс Дэшнер,https://s1.livelib.ru/boocover/1004003872/200x305/ea68/boocover.jpg,Прочитано,"September 28, 2022 2:53 AM",Развлекательная литература,,,https://www.livelib.ru/book/1004003872-beguschij-v-labirinte-dzhejms-deshner,
451° по Фаренгейту,Рэй Брэдбери,https://s1.livelib.ru/boocover/1001287644/200x305/37e3/boocover.jpg,Брошено,"September 28, 2022 2:53 AM",Развлекательная литература,,,https://www.livelib.ru/book/1001287644-451-po-farengejtu-rej-bredberi,
"Какое тебе дело до того, что думают другие?",Ричард Фейнман,https://s1.livelib.ru/boocover/1000217685/200x305/3f2e/boocover.jpg,Прочитано,"September 28, 2022 2:56 AM",Развлекательная литература,Продолжение первой книги про Фейнмана и его жизнь. Менее интересная чем первая книга.,,https://www.livelib.ru/book/1000217685-kakoe-tebe-delo-do-togo-chto-dumayut-drugie-fejnman-richard,
"Вы, конечно, шутите, мистер Фейнман!",Ричард Фейнман,https://cv4.litres.ru/pub/c/elektronnaya-kniga/cover_330/142044-richard-fillips-feynman-vy-konechno-shutite-mister-feynman.jpg,Прочитано,"September 28, 2022 2:56 AM",Развлекательная литература,"Интересные и забавные истории о жизни одного из известных физиков, принимавших участие в создании проекта ""Манхэттен"" и расследовании крушения шаттла ""Челленджер"".",,https://www.litres.ru/richard-fillips-feynman/vy-konechno-shutite-mister-feynman/chitat-onlayn/,
Приключения Тома Сойера,Марк Твен,https://s1.livelib.ru/boocover/1006969033/200x305/5838/boocover.jpg,Прочитано,"September 28, 2022 2:57 AM",Развлекательная литература,Одна из первых прочитанных книг в принципе.,,https://www.livelib.ru/book/1006969033-priklyucheniya-toma-sojera-mark-tven,
Лютый Зверь,Джек Лондон,https://cv1.litres.ru/pub/c/elektronnaya-kniga/cover_330/66874813-dzhek-london-lutyy-zver-igra-dzhon-yachmennoe-zerno.jpg,Прочитано,"September 28, 2022 2:58 AM",Развлекательная литература,"Короткий, но интересный рассказ про боксера и его менеджера.",,https://www.litres.ru/dzhek-london/lutyy-zver-igra-dzhon-yachmennoe-zerno/,
"Как разговаривать с кем угодно, когда угодно и где угодно",Ларри Кинг,https://s1.livelib.ru/boocover/1002896237/200x305/2100/boocover.jpg,Прочитано,"October 2, 2022 5:58 AM",Книги по саморазвитию,"Краткая информация о том, как общаться с людьми",,https://www.livelib.ru/book/1002896237-kak-razgovarivat-s-kem-ugodno-kogda-ugodno-i-gde-ugodno-larri-king,
Доктор Живаго,Борис Пастернак,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/134194-boris-pasternak-doktor-zhivago.jpg,В планах,"October 2, 2022 6:15 AM",Развлекательная литература,,,https://www.litres.ru/boris-pasternak/doktor-zhivago/,
Сердце хирурга,Федор Углов,https://cv9.litres.ru/pub/c/elektronnaya-kniga/cover_415/5000597-fedor-uglov-serdce-hirurga.jpg,В планах,"October 2, 2022 6:16 AM",Развлекательная литература,,,https://www.litres.ru/fedor-uglov/serdce-hirurga/,
Доброе утро каждый день: Как рано вставать и все успевать,Джефф Сандерс,https://cv3.litres.ru/pub/c/elektronnaya-kniga/cover_415/22181730-dzheff-sanders-dobroe-utro-kazhdyy-den-kak-rano-vstavat-i-vse-uspevat.jpg,Читаю,"October 2, 2022 6:18 AM",Книги по саморазвитию,,,https://www.litres.ru/dzheff-sanders/dobroe-utro-kazhdyy-den-kak-rano-vstavat-i-vse-uspevat/,
"Саммари книги «Кровь, пот и пиксели. Обратная сторона индустрии видеоигр. 2-е издание»",Алина Григорьева,https://cv5.litres.ru/pub/c/elektronnaya-kniga/cover_415/66908958-alina-grigoreva-sammari-knigi-krov-pot-i-pikseli-obratnaya-storona-industr.jpg,Прочитано,"October 2, 2022 6:23 AM",Развлекательная литература,Интересный взгляд на изнанку игровой индустрии на примере нескольких компаний/энтузиастов и их проектов + исторический экскурс.,,https://www.litres.ru/alina-grigoreva/sammari-knigi-krov-pot-i-pikseli-obratnaya-storona-industr/,
Эссенциализм. Путь к простоте,Грег МакКеон,https://cv6.litres.ru/pub/c/elektronnaya-kniga/cover_415/8653861-greg-makkeon-essencializm-put-k-prostote.jpg,В планах,"October 2, 2022 6:31 AM",Книги по саморазвитию,,,https://www.litres.ru/greg-makkeon/essencializm-put-k-prostote/,
Начинаем программировать на Python (5-е издание),Тони Гэддис,https://s1.livelib.ru/boocover/1005799210/200x305/c980/boocover.jpg,В планах,"October 2, 2022 6:47 AM",Книги для работы,,,https://www.livelib.ru/book/1005799210-nachinaem-programmirovat-na-python-toni-geddis,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/Python%2056ea1d4987c94572bc191d10854812ef.csv
Современный скрапинг веб-сайтов с помощью Python. (2-е межд. издание),Митчелл Райан,https://cdn1.ozone.ru/s3/multimedia-q/wc1000/6278289422.jpg,В планах,"October 2, 2022 6:51 AM",Книги для работы,,,https://www.ozon.ru/product/sovremennyy-skraping-veb-saytov-s-pomoshchyu-python-2-e-mezhd-izdanie-mitchell-rayan-231255164/?sh=Se_XTvZl-Q,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/Python%2056ea1d4987c94572bc191d10854812ef.csv
Новая большая книга CSS,Макфарланд Дэвид Сойер,https://cdn1.ozone.ru/multimedia/wc1000/1014337293.jpg,В планах,"October 2, 2022 6:51 AM",Книги для работы,,,https://www.ozon.ru/product/novaya-bolshaya-kniga-css-makfarland-devid-soyer-723248339/?asb=zwCHpshGnRzbjQ4XoS63lt2Z%252BLpqWYazl23dEQEenOM%253D&asb2=GfJzNlJwyRExjXgNLdV0xFJE7Nr-BcSLhptDFkc4BVDbukTbjBVkbsvZUEGuf9i6&keywords=%D0%9D%D0%BE%D0%B2%D0%B0%D1%8F+%D0%B1%D0%BE%D0%BB%D1%8C%D1%88%D0%B0%D1%8F+%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0+CSS+%7C+%D0%9C%D0%B0%D0%BA%D1%84%D0%B0%D1%80%D0%BB%D0%B0%D0%BD%D0%B4+%D0%94%D1%8D%D0%B2%D0%B8%D0%B4+%D0%A1%D0%BE%D0%B9%D0%B5%D1%80&sh=Se_XTq2yGw,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/HTML%20CSS%200156da8accb5451b8991d10bfb08505a.csv
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Адитья Бхаргава,https://cv8.litres.ru/pub/c/pdf-kniga/cover_415/39158380-aditya-bhargava-grokaem-algoritmy-illustrirovannoe-posobie-dlya-p-39158380.jpg,В планах,"October 2, 2022 6:54 AM",Книги для работы,,,https://www.litres.ru/aditya-bhargava/grokaem-algoritmy-illustrirovannoe-posobie-dlya-p-39158380/otzivi/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/Python%2056ea1d4987c94572bc191d10854812ef.csv
A Byte of Python,Swaroop C H,https://shultais.education/media/blog/books_reviews_covers/byte-of-python-cover.png,В планах,"October 2, 2022 6:58 AM",Книги для работы,,,http://wombat.org.ua/AByteOfPython/AByteofPythonRussian-2.02.pdf,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/Python%2056ea1d4987c94572bc191d10854812ef.csv
Python для чайников,Джон Пол Мюллер,https://s1.livelib.ru/boocover/1004178955/200x305/ab91/boocover.jpg,В планах,"October 2, 2022 7:12 AM",Книги для работы,,,https://www.livelib.ru/book/1004178955-python-dlya-chajnikov-dzhon-pol-myuller,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/Python%2056ea1d4987c94572bc191d10854812ef.csv
Python. Программирование для начинающих,Майк МакГрат,https://cv3.litres.ru/pub/c/pdf-kniga/cover_415/14108932-mayk-makgrat-python-programmirovanie-dlya-nachinauschih-14108932.jpg,В планах,"October 2, 2022 7:13 AM",Книги для работы,,,https://www.litres.ru/mayk-makgrat/python-programmirovanie-dlya-nachinauschih-14108932/otzivi/,../%D0%A0%D0%B0%D0%B7%D0%BE%D0%B1%D1%80%D0%B0%D1%82%D1%8C%20b61dfa08fdee427ab56a1d539555a5f4/%D0%A2%D0%B0%D0%B1%D0%BB%D0%B8%D1%86%D0%B0%20%E2%80%9C%D0%A2%D0%B5%D0%BC%D1%8B%E2%80%9D%205261d8ac365a4baa890082f78175e751/Python%2056ea1d4987c94572bc191d10854812ef.csv
