Название,Ссылка
"Что такое Zero Code - Журнал ""Код""",https://thecode.media/zerocode/
"10 no-code-платформ, на которые стоит обратить внимание в 2021 году",https://habr.com/ru/company/ruvds/blog/567148/
Обзор Wappler - no-code-конструктора сайтов со встроенным бэкендом и базой данных,https://ya.zerocoder.ru/obzor-no-code-konstruktora-wappler/
No Code,https://vas3k.ru/blog/nocode/
10 стыдных вопросов о no-code,https://skillsetter.io/blog/no-code-questions
"Выход Glide 2.0, Bubble-плагин для блокчейна и зерокодинг в каждой второй компании",https://ya.zerocoder.ru/glide-2-0-bubble-plaghin-dlia-blokchieina-i-nft/
Что такое UX-дизайн и как в нем разобраться,https://skillsetter.io/blog/ux-questions
