Наименование,Описание,Связь
sep=””,Выбор разделителя между значениями в терминале,https://www.notion.so/e66ab466dfa74edb9ebfb28418d2023c
end=””,"Устанавливаем символ в конце строки.
end=”\n” — используется литерал \n для перевода на новую строку.",https://www.notion.so/e66ab466dfa74edb9ebfb28418d2023c
