Упражнение:,Подходы:,Повторения:,Нагрузка:,Изображение:
Разминка,,,,
Гиперэкстензия,1,20,,
Тяга штанги стоя в наклоне,3,8-12,Широчайшая мышца спины,"https://cross.expert/wp-content/uploads/2017/03/oshibki-pri-tyage-shtangi.jpg, http://sportwiki.to/images/thumb/5/5e/Siilov_men79.jpg/800px-Siilov_men79.jpg"
Тяга горизонтального блока к груди сидя,4,8-12,Широчайшая мышца спины,"http://wobody.com/upload/images/sp-7.jpg, http://sportwiki.to/images/1/1d/Konstruktor_tela61.jpg"
Тяга верхнего блока к груди сидя,4,8-12,Широчайшая мышца спины,"http://sportwiki.to/images/4/46/Konstruktor_tela59.jpg, %D0%A1%D1%80%D0%B5%D0%B4%D0%B0%20(%D0%A1%D0%BF%D0%B8%D0%BD%D0%B0%20%D0%B8%20%D0%91%D0%B8%D1%86%D0%B5%D0%BF%D1%81)%20b2ef077525d7440683893c8737db2d99/tyagiVerkhnegoBlokaUzkimKhvatom.jpg"
Подъемы штанги на бицепс стоя,4,8-12,Бицепс,"https://cdn.shortpixel.ai/client/q_glossy,ret_img,w_500/https://6pack.ru/wp-content/uploads/2017/01/barbellcurl.jpg"
