Упражнение:,Подходы:,Повторения:,Нагрузка:,Изображение:
Разминка,,,,
Гиперэкстензия,1,20,,
Приседания со штангой,3,8-12,"Квадрицепс, Ягодицы","http://sportwiki.to/images/thumb/f/fa/Silov_men112.jpg/800px-Silov_men112.jpg, %D0%9F%D1%8F%D1%82%D0%BD%D0%B8%D1%86%D0%B0%20(%D0%9D%D0%BE%D0%B3%D0%B8%20%D0%B8%20%D0%9F%D0%BB%D0%B5%D1%87%D0%B8)%20994023a14c7d4c04bf450efbc5e6f7a9/Gym-Odessa.jpg"
Армейский жим (Жим штанги стоя),4,8-12,"Передние дельты, Срeдние дельты",http://sportwiki.to/images/thumb/6/66/Silov_men44.jpg/800px-Silov_men44.jpg
Тяга штанги к подбородку (к груди),4,8-12,"Задние дельты, Срeдние дельты",https://www.iron-health.ru/wp-content/uploads/2012/01/02-15.jpg
Подъемы на носки в тренажере,4,12-15,Икры,http://genmutant.com/attachments/1141.jpg
